,ticker,1Y,5Y
0,FSLR,29.69204,248.33156
0,FTNT,46.25668,437.68021
0,FTV,10.15569,28.14889
0,GD,32.10411,75.59419
0,GDDY,122.43485,162.14012
0,GE,128.26419,343.85283
0,GEHC,40.33443,49.66667
0,GEN,58.76777,16.11785
0,GEV,110.61333,110.61333
0,GILD,11.2558,32.32633
0,GIS,8.76166,30.96553
0,GL,-0.87222372,15.21739
0,GLW,74.63795,57.23838
0,GM,67.4538,36.18146
0,GNRC,88.7316,92.54766
0,GOOG,20.23205,166.08891
0,GOOGL,20.1978,163.73573
0,GPC,11.58584,40.50658
0,GPN,-8.08972,-38.03533
0,GRMN,63.23789,91.21296
0,GS,73.04993,147.4552
0,GWW,63.24164,253.67132
0,HAL,-32.14886,44.11015
0,HAS,32.73063,-40.12983
0,HBAN,59.56113,6.33705
0,HCA,70.48228,232.30321
0,HD,42.56148,71.69413
0,HES,-13.45939,111.7888
0,HIG,73.97497,102.35944
0,HII,20.75437,23.80456
0,HLT,60.25294,156.46715
0,HOLX,20.11545,65.0061
0,HON,22.70109,31.11164
0,HPE,31.38158,25.04696
0,HPQ,40.88099,114.47059
0,HRL,1.16279,-22.93307
0,HSIC,6.20086,13.81558
0,HST,12.72379,4.94048
0,HSY,-2.39429,20.24352
0,HUBB,62.88608,236.05592
0,HUM,-49.451,-9.25649
0,HWM,144.13318,293.19527
0,IBM,69.92961,82.99905
0,ICE,54.4332,78.22779
0,IDXX,5.99925,62.57172
0,IEX,8.53602,31.34806
0,IFF,60.70105,-12.09562
0,INCY,18.45735,-16.94872
0,INTC,-32.52585,-56.18646
0,INTU,21.80426,134.14569
0,INVH,10.1634,8.42715
0,IP,44.80099,17.23707
0,IPG,12.12766,52.01923
0,IQV,25.84508,61.5132
0,IR,68.65621,221.53648
0,IRM,108.95699,263.61226
0,ISRG,90.34447,176.62206
0,IT,55.1251,266.27146
0,ITW,16.14745,61.99762
0,IVZ,43.92971,11.57895
0,J,30.58588,84.64111
0,JBHT,2.83762,53.90882
0,JBL,0.1126942,237.87014
0,JCI,59.44215,82.04765
0,JKHY,29.25926,30.50871
0,JNJ,7.55664,27.19106
0,JNPR,57.29167,61.89691
0,JPM,58.15603,80.49373
0,K,64.41159,38.39727
0,KDP,30.35651,34.33976
0,KEY,72.62626,-5.73635
0,KEYS,29.45616,53.26794
0,KHC,14.04242,27.61597
0,KIM,45.99515,13.33019
0,KKR,154.51747,405.82944
0,KLAC,45.62651,310.7378
0,KMB,18.38929,3.60658
0,KMI,45.70082,22.71825
0,KMX,16.25727,-25.07811
0,KO,28.42086,28.06565
0,KR,30.0554,133.67897
0,KVUE,16.46341,-14.79554
0,L,30.08665,57.53984
0,LDOS,84.67566,109.89609
0,LEN,71.53846,196.0177
0,LH,8.18471,48.33056
0,LHX,40.30079,24.28629
0,LIN,32.27157,147.91506
0,LKQ,-18.74608,22.8436
0,LLY,57.13691,739.70902
0,LMT,37.75551,64.31226
0,LNT,26.51546,15.44685
0,LOW,46.95828,147.28897
0,LRCX,21.48099,205.40881
0,LULU,-26.01998,45.04092
0,LUV,25.31906,-42.8142
0,LVS,10.16146,-11.73021
0,LW,-11.31123,0.63785473
0,LYB,-0.46583851,1.98886
0,LYV,45.85131,69.7829
0,MA,34.23254,87.75428
0,MAA,19.81628,11.50811
0,MAR,40.46332,115.42276
0,MAS,69.12415,90.82049
0,MCD,23.60746,50.0548
0,MCHP,1.06197,53.77378
0,MCK,12.96,244.97455
0,MCO,57.56674,122.06211
0,MDLZ,10.06407,31.47284
0,MDT,25.74941,-14.62202
0,MET,45.05044,82.2948
0,META,83.16614,203.09865
0,MGM,10.48035,44.57143
0,MHK,103.3161,28.10837
0,MKC,28.30375,-3.85515
0,MKTX,22.01964,-18.76061
0,MLM,39.93942,115.00689
0,MMC,19.11812,122.63886
0,MMM,88.40296,-2.81101
0,MNST,6.89861,91.01243
0,MO,16.44909,7.68218
0,MOH,-16.84076,135.98189
0,MOS,-22.74347,33.6415
0,MPC,4.99164,142.63182
0,MPWR,113.61097,507.46905
0,MRK,2.89308,31.95186
0,MRNA,-31.58698,247.09677
0,MRO,-5.7508,130.26886
0,MS,64.96513,162.96132
0,MSCI,23.8356,166.99536
0,MSFT,27.16507,202.52113
0,MSI,70.74044,171.06414
0,MTB,73.62805,25.70112
0,MTCH,7.19343,-48.12937
0,MTD,35.38071,99.30533
0,MU,63.09809,141.2207
0,NCLH,70.33046,-53.46418
0,NDAQ,49.13689,127.07824
0,NDSN,18.95483,68.79872
