,Unnamed: 0,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Ticker,Industry,roce_rank,ticker,coef,r_squared,std,coef_rank,std_rank,average_score,final_score
25,409,AKAM,Return on Capital Employed,0.135,0.1232,0.1196,0.0809,0.0909,0.092,0.0959,0.107,0.0884,0.0741,,AKAM,Information Technology,518.0,AKAM,-0.004900606060836115,0.5620273537863529,0.018775782273982623,601.0,160.0,169.98333333333335,549.0
26,425,AL,Return on Capital Employed,0.0402,0.0351,0.0449,0.042,0.0374,0.0367,0.0281,0.0226,-0.0031,0.0277,,AL,Industrials,744.5,AL,-0.0032351515153052437,0.4958082342786775,0.013196681401018972,574.0,97.0,184.53333333333333,617.0
27,441,ALB,Return on Capital Employed,0.0473,0.0621,0.1147,0.0919,0.1392,0.0803,0.0582,0.0236,0.201,0.149,,ALB,Materials,240.0,ALB,0.0077096969700578616,0.18505145673201295,0.05147756890141569,145.0,486.0,74.88333333333333,121.0
28,457,ALGM,Return on Capital Employed,,,,,,0.1551,0.0798,0.0016,0.1797,0.2102,0.1401,ALGM,Information Technology,138.0,ALGM,,,0.0754020530224476,,648.0,,
29,473,ALGN,Return on Capital Employed,0.2421,0.2098,0.2312,0.2912,0.3366,0.3629,0.1058,0.2609,0.1503,0.1591,,ALGN,Health Care,218.0,ALGN,0.0,0.11888152938940433,0.07799849293415867,387.5,660.0,125.84166666666668,324.0
30,489,ALK,Return on Capital Employed,0.2224,0.2792,0.1848,0.1545,0.0826,0.1102,-0.1771,0.0749,0.0177,0.0437,,ALK,Industrials,668.5,ALK,-0.03003333333475323,0.5131549781268722,0.12042211134172993,785.0,776.0,249.5666666666667,793.0
31,505,ALL,Return on Capital Employed,0.1658,0.1421,0.1133,0.1497,0.1075,0.0568,0.0752,0.1027,-0.0156,0.0009,,ALL,Financials,818.0,ALL,-0.01766787878871818,0.769983909508305,0.05783231276717195,742.0,532.0,244.4333333333333,786.0
32,521,ALLE,Return on Capital Employed,0.211,0.1422,0.1965,0.2393,0.2309,0.2158,0.1634,0.2343,0.1795,0.2197,,ALLE,Industrials,130.0,ALLE,0.0,0.026180494459338344,0.030726444636501638,387.5,282.0,98.14166666666667,184.0
33,537,ALLY,Return on Capital Employed,0.0264,0.0085,0.028,0.0285,0.0312,0.0356,0.0259,0.0316,0.0275,0.0421,,ALLY,Financials,673.0,ALLY,0.0017509090909917017,0.38051158101678584,0.008152797066038133,213.0,43.0,108.5,231.0
34,553,ALNY,Return on Capital Employed,-0.4251,-0.2444,-0.3973,-0.2807,-0.5491,-0.6153,-0.3383,-0.2892,-0.3495,-0.1091,,ALNY,Health Care,893.0,ALNY,0.0,0.09035315027899626,0.13955724273573192,387.5,800.0,200.34166666666667,678.0
